gtid,tool_type,diameter_mm,diameter_inch,flute_count,corner_radius_mm,flute_length_mm,overall_length_mm,shank_diameter_mm,substrate,coating,manufacturer,edp_number,vendor,vendor_part_number,vendor_url,max_doc_mm,max_woc_mm,requires_tsc,requires_climb,is_consumable_class,notes,machine_name,t_number,h_register,d_register
100024,drill,2.7,,2,,20.6375,,,carbide,,OSG,215-1063,,215 SERIES SPIRAL EDP # 215-1063,,,,false,false,false,"N29_2.7MM 2FL CRB DRILL .8125 F/L | 215 series spiral; 135 deg point (measured, not 140 - 07-22 note)",Viper LG-1000AP,29,,
100025,drill,3.7,,2,,25.4,,,carbide,,OSG,215-1457,,215 SERIES SPIRAL EDP # 215-1457,,,,false,false,false,N34_3.7MM 2FL CRB DRILL 1.00 F/L | 215 series spiral; 135 deg point,Viper LG-1000AP,34,,
100026,drill,4.7,,2,,28.575,,,carbide,,OSG,215-1850,,215 SERIES SPIRAL EDP # 215-1850,,,,false,false,false,N47_4.7MM 2FL CRB STUB DRILL 1.125 F/L | 215 series spiral stub; 135 deg point,Viper LG-1000AP,47,,
100027,drill,5.7,,2,,33.274,,,carbide,,OSG,215-2244,,215 SERIES SPIRAL EDP # 215-2244,,,,false,false,false,"N57_5.7MM 2FL CRB STUB DRILL 1.31 F/L | FLAG: station 57 also claimed by GTID 100003 (Kennametal GOdrill 5.7mm, t_number=57) - dbc00per to resolve which tool owns N57; 215 series spiral stub",Viper LG-1000AP,57,,
100028,reamer,4,,4,,,,,carbide,,Guhring,9016850040000,,HR500 4MM H7 EDP # 9016850040000,,,,false,false,false,N35_4MM 4FL CRB REAMER | HR500 4mm H7,Viper LG-1000AP,35,,
100029,reamer,5,,6,,,,4,carbide,,Guhring,9016850050000,,HR500 5MM H7 EDP # 9016850050000,,,,false,false,false,N48_5MM 6FL CRB REAMER | HR500 5mm H7 - 6FL/4mm-shank oddball (verified 07-22),Viper LG-1000AP,48,,
100030,reamer,6,,4,,,,,carbide,,Guhring,9016850060000,,HR500 6MM H7 EDP # 9016850060000,,,,false,false,false,N58_6MM 4FL CRB REAMER | HR500 6mm H7,Viper LG-1000AP,58,,
100031,reamer,3.02,,,,,,,,,Guhring,04984401070,,EDP # 04984401070,,,,false,false,false,N31_3.02MM REAMER | VERIFY: flute count + substrate not stated on label or registry,Viper LG-1000AP,31,,
100032,reamer,6.35,0.25,6,,28.575,,,carbide,altin,Harvey Tool,256408,,RSB2500-C3 EDP # 256408,,,,false,false,false,N25_.2500 6FL CRB REAMER 1.125 F/L ALTIN,Viper LG-1000AP,25,,
100033,reamer,9,,,,,,,carbide,,Widia,2283464,,HSR GP K10 EDP # 2283464,,,,false,false,false,"N9_9MM H7 CRB REAMER | HSR GP K10, H7; VERIFY: flute count not stated",Viper LG-1000AP,9,,
100034,reamer,7.9756,0.314,6,,28.575,,,carbide,,GARR,96026,,4100 SERIES EDP # 96026,,,,false,false,false,N32_.3140 6FL CRB REAMER 1.125 F/L 5/16 SLIP FIT | 5/16 slip fit; GARR 4100 shank = nominal dia (07-22 note),Viper LG-1000AP,32,,
100035,reamer,8,,6,,28.575,,,carbide,,GARR,96029,,4100 SERIES EDP # 96029,,,,false,false,false,N8_8MM 6FL CRB REAMER 1.125 F/L | GARR 4100 shank = nominal dia,Viper LG-1000AP,8,,
100036,reamer,6.01,,4,,25,,,carbide,,GARR,96719,,4100 SERIES EDP # 96719,,,,false,false,false,N59_6.010MM 4FL CRB REAMER 25MM F/L 6MM SLIP FIT | 6mm SLIP fit (6.010),Viper LG-1000AP,59,,
100037,reamer,5.99,,4,,25,,,carbide,,GARR,96713,,4100 SERIES EDP # 96713,,,,false,false,false,N60_5.990MM 4FL CRB REAMER 25MM F/L 6MM PRESS FIT | 6mm PRESS fit (5.990),Viper LG-1000AP,60,,
100038,reamer,5.969,0.235,4,,25.4,,,carbide,,GARR,95747,,4100 SERIES EDP # 95747,,,,false,false,false,"N23_.2350 4FL CRB REAMER 1"" F/L",Viper LG-1000AP,23,,
100039,reamer,10.0076,0.394,6,,31.75,,,carbide,,Morse,54590,,5661 SOLID MASTER EDP # 54590,,,,false,false,false,N39_.3940 6FL CRB REAMER 1.25 F/L | 5661 Solid Master,Viper LG-1000AP,39,,
100040,drill,1.984,,2,,25.908,,,carbide,,Kennametal,4151741,,GODRILL B053A01984CPG KC7325 EDP # 4151741,,,,false,false,false,"N2_1.984MM 2FL CRB DRILL 1.02 F/L | GOdrill B053A01984CPG, grade KC7325",Viper LG-1000AP,2,,
100041,drill,1.984,,2,,12.954,,,carbide,,Kennametal,4151641,,GODRILL B041A01984CPG EDP # 4151641,,,,false,false,false,N3_1.984MM 2FL CRB DRILL 3XD .51 F/L | GOdrill B041A01984CPG 3xD (normalized existing in_DRILLS 21),Viper LG-1000AP,3,,
100042,em_square,19.05,0.75,4,,57.15,,,carbide,altisn,IMCO,9176957,,ALTISN VP EDP # 9176957,,,,false,false,false,N75_.750 4FL CRB SQ EM 2.25 F/L | ALTISN VP; needs 3/4in holder (holder-cleanup list),Viper LG-1000AP,75,,
100043,em_square,12.7,0.5,4,,53.975,,,carbide,alcrnx,IMCO,0338167,,M924 POW-R-FEED ALCRNX EDP # 0338167 (LEGACY 67249),,,,false,false,false,N51_.500 4FL CRB SQ EM 2.125 F/L | M924 POW-R-FEED; legacy EDP 67249,Viper LG-1000AP,51,,
100044,chamfer,9.525,0.375,4,,22.225,,,carbide,,Sharp Cutter,10-4375-45,,EDP # 10-4375-45,,,,false,false,false,"N38_.375 4FL CRB 90 DEG CHAMFER MILL 7/8"" F/L | 90 deg included chamfer mill",Viper LG-1000AP,38,,
100045,spot_drill,9.525,0.375,2,,25.4,,,,,GARR,91330,,EDP # 91330,,,,false,false,false,"N36_3/8"" X 142 DEG 2FL 1"" F/L | 142 deg point; VERIFY: OAL assumed 3.0in on the crib card, not stored here; substrate not stated on label",Viper LG-1000AP,36,,
100046,tap,4,,4,,,,,,,OSG,1102100208,,M4X0.7 4FL MOD-BOTT EDP # 1102100208,,,,false,false,false,N4_M4X0.7 4FL MB TAP | M4x0.7 mod-bottoming; VERIFY: shank/OAL open flag (07-27 checkpoint),Viper LG-1000AP,4,,
100047,drill,3.8,,2,,24.003,,,carbide,tialn,RapidKut,AX8030022,,TIALN 3XD EDP # AX8030022,,,,false,false,false,N15_3.8MM 2FL CRB DRILL .945 F/L | RapidKut 3xD,Viper LG-1000AP,15,,
100048,reamer,5,,4,,25.4,,,carbide,altin,Harvey Tool,,,RSB1969-C3,,,,false,false,false,"N49_5MM 4FL CRB REAMER 1"" F/L 2.125 REACH ALTIN | Harvey RSB1969-C3 (no EDP in registry); 2.125in reach",Viper LG-1000AP,49,,
100049,reamer,3,,4,,19.9898,,,carbide,altin,Harvey Tool,,,RSC3000-C3,,,,false,false,false,N40_3MM 4FL CRB REAMER .787 F/L 1.378 REACH ALTIN | Harvey RSC3000-C3 (no EDP in registry); 1.378in reach,Viper LG-1000AP,40,,
100050,drill,4.5,,2,,35.9918,,,carbide,altinos,GARR,25265,,1280KD ALTINOS EDP # 25265,,,,false,false,false,"N44_4.5MM 2FL CRB C/T DRILL 1.417 F/L | 1280KD, coolant-thru (C/T)",Viper LG-1000AP,44,,
100051,drill,5.5,,2,,27.9908,,,carbide,altinos,GARR,28315,,1580KD ALTINOS EDP # 28315,,,,false,false,false,"N55_5.5MM 2FL CRB C/T DRILL 1.102 F/L | 1580KD, coolant-thru (C/T)",Viper LG-1000AP,55,,
100052,tap,6,,2,,,,,,,OSG,13158004,,HY-PRO AL M6X1.0 MOD-BOTT EDP # 13158004,,,,false,false,false,"N6_M6X1.0 2FL SPIRAL FLUTE TAP HY-PRO AL | M6x1.0 spiral flute, HY-PRO AL, mod-bottoming",Viper LG-1000AP,6,,
100053,drill,5,,2,,43.9928,,,carbide,altinos,GARR,25335,,1280KD ALTINOS EDP # 25335,,,,false,false,false,"N7_5MM 2FL CRB C/T DRILL 1.732 F/L | 1280KD, coolant-thru (C/T)",Viper LG-1000AP,7,,
100054,tap,3,,3,,,,,,,OSG,1651000108,,A-TAP V M3X0.5 D5 S/P PLUG EDP # 1651000108,,,,false,false,false,"N1_M3X0.5 3FL SPIRAL POINT PLUG TAP A-TAP V | M3x0.5 spiral point plug, A-TAP V, D5; VERIFY: shank/OAL open flag (07-27 checkpoint)",Viper LG-1000AP,1,,
100055,drill,3.6,,2,,,,,carbide,,RapidKut,AX8031022,,5XD EDP # AX8031022,,,,false,false,false,"N41_3.6MM 2FL CRB DRILL 5XD | 5xD; VERIFY: F/L estimated 1.10in on crib card, left blank here",Viper LG-1000AP,41,,
100056,drill,15.25,,2,,,,,carbide,,Guhring,24035272,,EDP # 24035272,,,,false,false,false,"N61_15.25MM 2FL CRB C/T DRILL | coolant-thru (C/T); VERIFY: F/L est 3.70in / OAL est 5.24in, left blank; runs in ER32 16mm chuck (holder-cleanup list)",Viper LG-1000AP,61,,
100057,drill,2.5,,2,,12.4968,,,carbide,,GARR,00260,,1550H ALTINOS EDP # 00260,,,,false,false,false,N13_2.5MM 2FL CRB DRILL .492 F/L | 1550H,Viper LG-1000AP,13,,
100058,spot_drill,3,,2,,8.9916,,,,,OSG,8688966,,AD-LDS EDP # 8688966,,,,false,false,false,"N24_3MM X 140 DEG 2FL SPOT DRILL .354 F/L | AD-LDS, 140 deg point; substrate not stated on label",Viper LG-1000AP,24,,
100059,em_square,25.4,1.0,3,,38.1,,25.4,carbide,,Kennametal,3658865,,KENCUT AL AADE1000J3A K600 EDP # 3658865,,,,false,false,false,"N11_1"" 3FL CRB SQ EM 1.5 F/L ALUM ONLY | ALUM ONLY (non-ferrous); KenCut AL K600; 1in shank EXCEEDS ER20 - needs 1in EM holder like N10 ARCH 966-000-004 (holder-cleanup list)",Viper LG-1000AP,11,,
100060,em_square,9.525,0.375,2,,19.05,,9.525,carbide,,Kennametal,3660399,,MAXIMET ABDF0375J2AS K600 EDP # 3660399,,,,false,false,false,"N17_3/8"" 2FL CRB SQ EM .75 F/L ALUM ONLY | ALUM ONLY (non-ferrous); MaxiMet K600; ER20 3/8 collet",Viper LG-1000AP,17,,
100061,em_square,8,,3,,18,,8,carbide,,Kennametal,6853469,,ALUFLASH 3AN9M08004SZT EDP # 6853469,,,,false,false,false,N19_8MM 3FL CRB SQ EM 18MM F/L ALUM ONLY | ALUM ONLY (non-ferrous); ALUFLASH 3AN9; ER20 8mm collet,Viper LG-1000AP,19,,
